id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,last_review,calculated_host_listings_count,availability_365
43736844,Private room closed to airport,305209494,Therese,,Qormi,35.88195,14.46833,Private room,18,1,5,5,2020-09-19,11,292
39710613,Centre of Malta Classy .Private room,305209494,Therese,,Qormi,35.88059,14.46761,Private room,20,1,9,5,2021-01-02,11,365
39714500,Classy- private room,305209494,Therese,,Qormi,35.88052,14.46772,Private room,13,3,0,0,,11,365
46490576,Lulu Boutique Hotel - Suite 3 with private cellar,375134145,Liudmila,,Zebbug (Malta),35.86821,14.44214,Private room,246,1,1,1,2021-01-02,9,359
38446561,Studio penthouse Center of Malta Close to Valletta,293083323,Maria,,Qormi,35.87754,14.47196,Entire home/apt,35,3,19,11,2020-09-27,2,354
43735639,Private room,305209494,Therese,,Qormi,35.88169,14.46958,Private room,15,1,0,0,,11,164
15417457,Room 1 or 3 or 12,15414221,Samantha,,Mdina,35.88382,14.40367,Private room,140,1,4,0,2019-08-05,6,358
40338239,Beautiful penthouse with sea view and Mdina view,305729530,Nad,,Zebbug (Malta),35.87833,14.44031,Private room,25,2,6,6,2020-09-02,2,337
24347104,Old Meets New,183708611,Marion,,Mdina,35.88475,14.40178,Entire home/apt,90,3,63,1,2021-01-03,2,354
19941955,Ground Floor Room at Maleth Inn Guesthouse,63240685,Caroline,,Mdina,35.88401,14.402,Hotel room,64,1,28,4,2020-03-12,10,1
21002440,Deluxe Penthouse Suite at Maleth Inn Guesthouse,63240685,Caroline,,Mdina,35.8839,14.40219,Private room,54,1,52,18,2021-01-04,10,0
15939095,Fully equipped three bedroom apartment.,103452722,Cynthia,,Zebbug (Malta),35.86293,14.43973,Entire home/apt,27,365,0,0,,1,364
21887854,~ Central airport twinroom WIFI bustop Valletta 3,121482496,Ruben,,Qormi,35.87852,14.47498,Private room,15,1,24,1,2020-02-05,3,180
39714914,Centre of Malta-Private room,305209494,Therese,,Qormi,35.88042,14.46935,Shared room,22,2,0,0,,11,365
19173428,Private beautiful house,93769741,Sara,,Zebbug (Malta),35.87077,14.44797,Entire home/apt,200,4,40,0,2019-11-13,1,278
19134888,Huge Qormi House Of Character with Private Pool,132469547,Saviour,,Qormi,35.8788,14.47053,Entire home/apt,180,7,1,0,2019-11-04,7,365
19117606,Qormi 2 Bedroom House with Private Jacuzzi,132469547,Saviour,,Qormi,35.87915,14.47,Entire home/apt,50,7,3,0,2018-12-24,7,365
21820123,Twinroom 2 WiFi Central Malta bus airport Valletta,121482496,Ruben,,Qormi,35.87779,14.4761,Private room,15,2,41,1,2020-03-08,3,180
24488863,"The Bastion, Mdina",7662748,Karina,,Mdina,35.88804,14.40167,Entire home/apt,500,7,4,1,2020-08-16,1,147
4600348,Mdina| 3 BR Traditional Townhouse in Mdina's Heart,8615907,Andrea,,Mdina,35.88632,14.40279,Entire home/apt,85,5,85,3,2020-08-23,4,298
19960374,Family room with Maltese balcony at Maleth Inn,63240685,Caroline,,Mdina,35.88408,14.40191,Hotel room,39,1,25,12,2021-01-17,10,301
4904744,Mdina | Regal House of Character: incredible view!,8615907,Andrea,,Mdina,35.88618,14.40292,Entire home/apt,65,4,114,8,2020-08-26,4,294
25945986,Stunningly Restored 500 Y.O. Palazzo in Mdina,8615907,Andrea,,Mdina,35.88726,14.40266,Entire home/apt,300,5,34,3,2020-08-17,4,342
37761661,Jacuzzi Sunset Luxury Oasis The cosy Loft Ensuite,278571682,Andreea,,Zebbug (Malta),35.86947,14.44213,Private room,57,3,6,5,2020-10-28,4,180
41038982,Couple bedroom royal in Qormi airport VallettaWIFI,309973694,Bernardette,,Qormi,35.87876,14.4762,Private room,19,1,0,0,,3,180
41803255,Stylish  Apartment in the Heart of Malta Sleeps 10,1730826,Rita,,Zebbug (Malta),35.87514,14.44249,Entire home/apt,70,7,0,0,,4,365
4660019,12 Century Cozy 1BD apartment in Mdina.,21395067,Josephine,,Mdina,35.88772,14.40419,Entire home/apt,40,2,177,10,2020-09-07,1,289
46250090,Villa Blueberry Hills - Rustic Private Farmhouse,26094712,Chris,,Zejtun,35.85519,14.54233,Entire home/apt,220,2,0,0,,9,249
22119496,Casa Sant Fournier,21565269,Tess,,Zebbug (Malta),35.86984,14.44289,Entire home/apt,358,2,15,0,2019-09-10,1,337
16291774,Duplex Solitary Maisonette,86459884,Andrew,,Zejtun,35.85251,14.52852,Entire home/apt,84,1,0,0,,1,0
45684071,Serenity,97414120,William,,Qormi,35.8796,14.47463,Entire home/apt,24,1,2,2,2020-11-30,3,360
34278442,Lavish 'Belt Pinto' Studio Apartment,67181402,Clive,,Qormi,35.87957,14.47776,Entire home/apt,49,3,15,2,2020-10-26,3,137
40215142,Experience the true Malta in a 500 years old house,276728446,Roderick,,Zebbug (Malta),35.87161,14.4455,Entire home/apt,149,3,1,0,2020-01-07,4,365
13121114,A brand new designer appartment.,29612371,Amanda,,Zejtun,35.85183,14.5356,Entire home/apt,135,3,0,0,,3,89
26681583,Modern Spacious Apartment - Zebbug Malta,180954554,Daniela,,Zebbug (Malta),35.8727,14.4552,Entire home/apt,35,2,0,0,,1,0
19455361,Students Room Let,70380577,Melissa,,Zejtun,35.85634,14.53589,Private room,60,3,0,0,,1,0
47594463,"One of a kind, Maltese classic 5BR house in Qormi",222527557,360 Estates,,Qormi,35.88263,14.47433,Entire home/apt,200,3,0,0,,109,245
37448024,Newly furnished home in Central of Malta,2611465,Mavric,,Qormi,35.87624,14.47239,Entire home/apt,32,3,3,3,2020-08-14,1,275
27450632,Haz-Zebbug Townhouse,87257309,Mario,,Zebbug (Malta),35.87597,14.43881,Private room,15,1,32,4,2020-12-31,2,365
41127548,Modern Maisonette in Ultra Central Maltese Town,222493806,Daphne,,Qormi,35.87825,14.47523,Entire home/apt,59,2,4,4,2020-03-03,1,0
37358952,South Olives,280967340,Emanuel,,Zejtun,35.85656,14.54694,Entire home/apt,80,3,1,1,2020-08-16,1,340
46251832,"""The Special ONE"" A beautiful 3BR VILLA with Pool☀️",222527557,360 Estates,,Zejtun,35.85504,14.54849,Entire home/apt,400,3,0,0,,109,341
41845395,Townhouse Twenty,1730826,Rita,,Zebbug (Malta),35.87084,14.44323,Entire home/apt,65,3,0,0,,4,364
47525911,Single Room in BB De Rohan Bed and Breakfast,70816564,Lynn,,Zebbug (Malta),35.87243,14.44654,Private room,24,1,0,0,,3,365
1633192,Id-Dwejra House of Character with private pool,8676494,Francesca,,Zejtun,35.8526,14.53064,Entire home/apt,100,3,59,8,2021-01-01,1,195
42638931,Private En Suite Bedroom,142446009,Hassan,,Fgura,35.87175,14.51413,Private room,24,5,0,0,,1,0
39910378,Classic Maltese Town House > In Center of Malta,307485684,Nadia,,Zebbug (Malta),35.8708,14.44587,Private room,20,7,0,0,,2,179
18067559,"Near airport, Valletta and 3 Cities",67175598,Miriam And Alejandro,,Fgura,35.8746,14.51697,Private room,34,2,109,5,2020-09-26,2,365
8386589,Double bedroom in a charming apartment,711377,Emma,,Zebbug (Malta),35.86607,14.44236,Private room,40,3,15,0,2019-08-12,1,179
33529460,"Rispetto ed educazione, e sarai il benvenuto.",252650771,Gabriele,,Zejtun,35.86008,14.54104,Private room,25,1,0,0,,2,263
34056475,Charming Country Farmhouse B&B near beaches,257165977,Deborah,,Zejtun,35.84848,14.54635,Private room,35,2,27,1,2020-02-24,2,208
17220089,Suantrai - Cosy House of Character,115887124,Justin,,Zebbug (Malta),35.86669,14.44069,Entire home/apt,24,2,106,11,2020-08-24,1,297
42055132,Luxury Penthouse - AC/Close to Airport/Sleeps 6,333337185,Rowena,,Zejtun,35.86102,14.5297,Entire home/apt,100,3,0,0,,1,0
16190560,Penthouse,43870303,Shawn,,Fgura,35.8745,14.52302,Entire home/apt,90,5,4,0,2018-08-29,3,1
24114840,Haz-Zebbug a cute little house bang in the centre.,151792440,Alfred,,Zebbug (Malta),35.87141,14.44295,Entire home/apt,32,3,77,7,2020-09-04,6,92
26742149,Private Triple Room in a Maltese Townhouse,164981544,"Philip, Matthew, Lucy",,Zejtun,35.85634,14.53766,Private room,70,3,1,0,2018-07-26,1,0
36830767,Avalon flat,252650771,Gabriele,,Zejtun,35.86011,14.54103,Private room,25,1,4,0,2019-10-07,2,113
40005427,KUCCA Boutique Townhouse -Adults Only,4889548,Alexia,,Zebbug (Malta),35.87204,14.44444,Entire home/apt,55,3,14,13,2020-10-31,2,324
40628111,Luxury house in authentic maltese neighbourhood,237251471,Maciej,,Zejtun,35.85388,14.53202,Entire home/apt,97,2,8,5,2020-12-25,1,0
46898662,Ta Kekinu,604161,Charlot,,Zejtun,35.85705,14.53544,Private room,20,1,0,0,,1,0
46270334,"""The Peaceful Retreat"" A beautiful villa with Pool",222527557,360 Estates,,Zejtun,35.85585,14.54499,Entire home/apt,300,3,0,0,,109,257
47329384,Zejtun | 2 Bedroom Apartment Facing Country Views,302114378,Ismael,,Zejtun,35.86079,14.53274,Entire home/apt,50,2,0,0,,1,326
39695529,modern apartment,217804068,Doreen,,Zejtun,35.85232,14.53479,Private room,45,4,0,0,,2,173
37521539,Apartment - South of Malta,283219763,Elise,,Fgura,35.86933,14.52214,Entire home/apt,90,2,0,0,,1,23
12419656,"Near Valletta, airport, 3 Cities",67175598,Miriam And Alejandro,,Fgura,35.8747,14.51832,Private room,39,2,194,5,2020-09-27,2,365
34031652,Entire Large 4 Bedroom Apartment,138972565,Clayton,,Fgura,35.8711,14.51803,Entire home/apt,1000,2,1,0,2019-04-22,1,180
29974150,Tal-Kapilluna Zebbug Guest House. Self catering,225345304,Philip,,Zebbug (Malta),35.8708,14.43914,Entire home/apt,75,1,5,0,2019-11-05,1,60
34426719,"Close to Airport, centrally located,",21921163,Dominic,,Fgura,35.87166,14.51339,Entire home/apt,850,2,3,0,2019-08-26,4,365
36313271,Spacious 3 Bedroom Apartment in Zejtun,273091370,Kurt,,Zejtun,35.85301,14.52851,Entire home/apt,60,2,3,0,2019-09-23,1,62
26524217,19 Tal-Kontessa,199490237,Claudio,,Zebbug (Malta),35.87014,14.44165,Entire home/apt,200,2,12,1,2021-01-01,1,365
19118584,Rm 1 - Close to Airport MALTA! Breakfast Tarxien,76965496,,,Fgura,35.86704,14.51969,Private room,18,2,72,1,2020-09-23,3,180
37816653,"A cheerful,  welcoming  and spacious  apartment.",21921163,Dominic,,Fgura,35.8726,14.51321,Entire home/apt,400,1000,0,0,,4,363
40007731,Citadel View Studio Penthouse,306526514,Daniel,,Rabat (Victoria),36.045,14.23272,Entire home/apt,35,1,1,0,2019-12-30,4,177
46490947,Lulu Boutique Hotel - Suite 5,375134145,Liudmila,,Zebbug (Malta),35.86692,14.44327,Private room,90,1,0,0,,9,363
43092412,Appartments Zebbug Malta,342430495,Saviour,,Zebbug (Malta),35.86977,14.43928,Entire home/apt,54,1,0,0,,5,0
33927775,Stunning Penthouse. Fully A/C 95sqm one bedroom,31383964,Peter,,Zejtun,35.85611,14.53566,Entire home/apt,43,4,16,4,2021-01-01,1,344
5553956,Villa Strawberry Hills-Charming private pool villa,26094712,Chris,,Zejtun,35.85711,14.54394,Entire home/apt,170,2,7,2,2020-09-14,9,256
6961123,Rejuvenate in the Hot Tub and Pool at Ta Rozamari in Zejtun,36492830,Mary Rose Zammit,,Zejtun,35.85293,14.53177,Entire home/apt,146,3,26,2,2020-08-26,3,308
46498560,Lulu Boutique Hotel - Suite 7 with private jacuzzi,375134145,Liudmila,,Zebbug (Malta),35.86898,14.44159,Private room,246,1,0,0,,9,358
37099812,Romantic Jacuzzi Sunset Escape ! The Red En-suite,278571682,Andreea,,Zebbug (Malta),35.86978,14.44191,Private room,50,3,11,5,2020-11-16,4,175
46490706,Lulu Boutique Hotel - Suite 4,375134145,Liudmila,,Zebbug (Malta),35.86738,14.44258,Private room,126,1,0,0,,9,349
46484972,Lulu Boutique Hotel - Suite 2,375134145,Liudmila,,Zebbug (Malta),35.86705,14.44167,Private room,126,1,0,0,,9,343
46412426,Lulu Boutique Hotel - Suite 1,375134145,Liudmila,,Zebbug (Malta),35.86749,14.44308,Private room,90,1,0,0,,9,364
33903128,Village Knights B&B - Valletta Room,239349288,Simon,,Zebbug (Malta),35.86772,14.44564,Private room,100,2,0,0,,3,161
32691529,KA18 - Designer Town House - Uniquely Maltese!,118489013,Ed,,Zejtun,35.85334,14.53261,Entire home/apt,55,2,8,3,2020-08-30,12,119
36794794,Villa Mercury-Modern villa with large private pool,26094712,Chris,,Zejtun,35.85461,14.54398,Entire home/apt,240,2,2,2,2020-02-19,9,301
26932188,B4 Main bedroom with ensuite for 2 guests,202019217,Louise,,Rabat (Victoria),36.04311,14.23964,Private room,45,1,9,0,2019-11-03,6,364
38033345,Provicario : Chambre Double hyper centre,275799744,Patrice,,Rabat (Victoria),36.04504,14.23761,Private room,90,2,0,0,,6,327
26932831,B3 Double bed eshared bathroom for 2 guests,202019217,Louise,,Rabat (Victoria),36.04475,14.23812,Private room,43,1,1,0,2019-08-17,6,363
37762815,Luxury Retreat Jacuzzi Sunsets Escape,278571682,Andreea,,Zebbug (Malta),35.86937,14.44187,Private room,110,3,1,1,2020-09-14,4,179
46490933,Lulu Boutique Hotel - Suite 6,375134145,Liudmila,,Zebbug (Malta),35.86856,14.44323,Private room,126,1,0,0,,9,351
46498657,Lulu Boutique Hotel - Penthouse with private pool,375134145,Liudmila,,Zebbug (Malta),35.86834,14.44211,Private room,306,1,0,0,,9,338
46350010,"Lulu Boutique Hotel, made for passionate people;-)",375134145,Liudmila,,Zebbug (Malta),35.86851,14.44351,Private room,1180,1,0,0,,9,364
31924924,Village Knights B&B - Mdina Room,239349288,Simon,,Zebbug (Malta),35.86981,14.44566,Hotel room,100,2,16,0,2019-09-16,3,166
46666679,Ground floor 1 large bedroom Maltese Townhouse,342430495,Saviour,,Zebbug (Malta),35.8678,14.44085,Entire home/apt,60,1,0,0,,5,365
24224058,Farmhouse with Pool in Haz-Zebbug,104944911,Mark,,Zebbug (Malta),35.86736,14.44242,Entire home/apt,200,3,1,0,2018-04-21,1,90
35295492,Superior Gozo Apartment Flat 3,162228587,Robert,,Rabat (Victoria),36.03912,14.24252,Entire home/apt,207,1,0,0,,34,0
43886181,Lidda Butts Inn Annex Room 7,177768707,Joseph,,Rabat (Victoria),36.04079,14.24042,Private room,23,1,1,1,2020-07-28,28,1
43879759,Lidda Butts Inn Annex Room 1,177768707,Joseph,,Rabat (Victoria),36.04134,14.24059,Private room,15,1,8,8,2021-01-17,28,362
23969459,SEVENOAKS HOUSE OF CHARACTER,120390176,Johann,,Zejtun,35.85155,14.5308,Entire home/apt,60,3,15,1,2020-03-12,1,34
33931576,"3Affordable, comfortable & well linked apartment",256226185,James,,Zejtun,35.8551,14.54431,Private room,29,1,20,12,2020-09-26,3,124
14292283,Townhouse of Dreams,87257309,Mario,,Zebbug (Malta),35.87182,14.44301,Private room,16,1,88,3,2020-12-28,2,364
32003251,Village Knights B&B - Marsaxlokk Room,239349288,Simon,,Zebbug (Malta),35.86922,14.44569,Hotel room,100,2,8,0,2019-09-13,3,166
39996789,A modern light-filled apartment,262944108,Fran,,Zebbug (Malta),35.87367,14.4499,Private room,21,30,1,1,2020-05-17,1,200
14628122,Zebbug à Malte,90810373,Jean Pierre,,Zebbug (Malta),35.87711,14.43719,Private room,27,4,24,0,2018-10-03,1,184
24684198,Vicel Accom. : Single room 1 w/private bathroom,186564165,Elaine,,Zejtun,35.85642,14.53036,Private room,32,3,4,0,2019-06-09,2,365
36544032,Avalon flats,46500306,Mey,,Zejtun,35.85857,14.54099,Private room,25,1,0,0,,1,90
12780013,Penthouse with views of Mdina,69540389,Joseph,,Zebbug (Malta),35.8742,14.43636,Entire home/apt,45,2,122,18,2021-01-22,1,344
29953947,Bedroom with en-suite in a shared Farmhouse,179991531,Roberta,,Rabat (Victoria),36.04294,14.23843,Private room,24,2,6,0,2019-09-17,3,0
12928194,BB De Rohan - Bed & Breakfast,70816564,Lynn,,Zebbug (Malta),35.87359,14.43823,Private room,39,1,12,0,2019-07-22,3,365
12914956,Annex Studio Room of BB De Rohan,70816564,Lynn,,Zebbug (Malta),35.87297,14.4395,Entire home/apt,60,1,0,0,,3,365
42006217,Luxury Penthouse in the Heart of Malta,1730826,Rita,,Zebbug (Malta),35.87467,14.44415,Entire home/apt,65,3,0,0,,4,365
44335645,Luxurious Family Home with Pool,80026249,Dee,,Zebbug (Malta),35.86977,14.44323,Entire home/apt,225,5,0,0,,2,177
43943072,500 year old  studio in a farmhouse Haz-Zebbug Mlt,342430495,Saviour,,Zebbug (Malta),35.87001,14.43923,Private room,60,3,0,0,,5,364
39909329,Classic Maltese Town House - In Center of Malta,307485684,Nadia,,Zebbug (Malta),35.86889,14.45698,Private room,20,3,0,0,,2,180
22606722,400 yr old house - Double + twin,46860284,Chiara,,Zebbug (Malta),35.87399,14.44454,Private room,150,2,2,0,2018-02-22,1,0
34189889,Spacious Iconic Maltese Private Luxurious Villa,23554378,Joseph,,Zebbug (Malta),35.87235,14.4448,Entire home/apt,850,5,0,0,,2,0
39916436,Double room Il-Kastello,70910801,Vittoria,,Rabat (Victoria),36.04644,14.23954,Private room,35,1,5,3,2020-08-25,2,311
15032797,Be warm Be Welcome Be at home!,61494664,Darinka,,Zejtun,35.85459,14.52978,Private room,20,3,3,0,2016-12-05,1,365
14736517,Martha ensuite bedroom,91790736,Yves,,Zejtun,35.85391,14.53154,Private room,80,2,0,0,,1,312
39242370,400 yr old house  - Double room with pool,23554378,Joseph,,Zebbug (Malta),35.8721,14.44367,Private room,100,1,0,0,,2,0
33957676,"1Affordable, comfortable and well linked apartment",256226185,James,,Zejtun,35.8557,14.5432,Private room,29,1,42,1,2020-07-27,3,91
39798137,Charming penthouse with sea and Mdina view,305729530,Nad,,Zebbug (Malta),35.87727,14.43926,Private room,20,2,7,4,2020-03-14,2,0
44343811,Da Beppe B&B room 1,37169860,Lesley Ann,,Zebbug (Malta),35.8674,14.44498,Private room,28,1,1,1,2020-10-09,2,0
39461205,MIZZI 87 (1),51657141,Marco,,Rabat (Victoria),36.03989,14.24086,Private room,33,2,4,4,2020-09-28,2,321
26931603,B1 Double bed with a private ensuite for 2 guests,202019217,Louise,,Rabat (Victoria),36.04452,14.23881,Private room,43,1,1,0,2019-08-10,6,364
44358739,Da Beppe B&B Room 2,37169860,Lesley Ann,,Zebbug (Malta),35.86629,14.44459,Entire home/apt,55,1,2,2,2020-08-28,2,0
25905668,Luxuriously converted 16th century farmhouse,194682157,John,,Zebbug (Malta),35.87187,14.43452,Entire home/apt,300,3,17,1,2020-08-24,1,0
26799617,Happiness,97414120,William,,Qormi,35.87789,14.47128,Entire home/apt,30,1,59,19,2021-01-04,3,343
20758455,Comftable enverment,37964570,Verginia,,Qormi,35.87982,14.47312,Private room,20,2,8,0,2019-08-20,2,0
38381399,Ta' Ganna Appts King Room 1 with ensuite & AC,209231237,Joan,,Zejtun,35.85685,14.53464,Private room,45,4,0,0,,1,180
33956210,"2Affordable, comfortable and well linked apartment",256226185,James,,Zejtun,35.85697,14.54231,Private room,29,1,28,8,2020-09-13,3,91
33240651,Vicel Accomodation : Single Room 2 w/ensuite & AC,186564165,Elaine,,Zejtun,35.85796,14.53075,Private room,35,6,0,0,,2,365
36716602,"Provicario : Chambre, vue Citadelle, hyper centre",275799744,Patrice,,Rabat (Victoria),36.04459,14.23868,Private room,110,2,0,0,,6,322
15781816,An enjoyable stay in Central Malta,102077094,Hedi,,Qormi,35.88414,14.47513,Private room,50,3,0,0,,1,0
38014908,Restored townhouse in the centre of Victoria Rm.4,288378324,Liliana,,Rabat (Victoria),36.04329,14.24007,Private room,55,1,3,2,2020-12-20,6,323
38371350,Penthouse living in the centre of Victoria. Rm.6,288378324,Liliana,,Rabat (Victoria),36.04318,14.2399,Private room,90,1,0,0,,6,343
36611067,The Garden House - Double Bed with Air-Condition,184222838,Yana,,Rabat (Victoria),36.04402,14.24856,Private room,38,2,11,2,2020-02-23,2,0
43789994,Private room close to vallatta and airport..,305209494,Therese,,Qormi,35.88193,14.46808,Private room,18,1,4,4,2020-08-14,11,365
41039689,Twin room in Qormi all amenities WiFi Valletta air,309973694,Bernardette,,Qormi,35.87888,14.47684,Private room,17,1,0,0,,3,180
10981722,Artistic House with Pool,14436895,Jean Pierre,,Qormi,35.87512,14.46526,Entire home/apt,175,7,1,0,2016-07-10,12,364
36829236,Santa Marija House  (2) Double Room with AC,276796567,Charlie,,Rabat (Victoria),36.04258,14.23845,Private room,60,1,3,1,2020-09-09,3,362
38371021,Restored townhouse in the centre of Victoria. Rm.2,288378324,Liliana,,Rabat (Victoria),36.04377,14.23818,Private room,55,1,0,0,,6,355
36827361,Santa Marija House (1)-Double Room with AC,276796567,Charlie,,Rabat (Victoria),36.04265,14.23835,Private room,65,1,2,1,2020-08-06,3,352
44055319,Disney Fantasy Room for 2,305209494,Therese,,Qormi,35.88102,14.46935,Private room,18,1,1,1,2021-01-02,11,365
34890793,Twin Room,262991297,Anna,,Qormi,35.88396,14.46855,Private room,20,1,23,5,2020-09-04,1,365
42284559,b&b la Fenice by Giancarlo,190224414,Giacomo Carlos,,Rabat (Victoria),36.0422,14.24455,Private room,47,2,1,1,2020-09-14,1,28
29898726,"SeaviewBedroom, private bath in a shared Farmhouse",179991531,Roberta,,Rabat (Victoria),36.04254,14.23731,Private room,27,2,15,0,2019-12-16,3,0
31275530,Fuchsia Suite,232908993,Giuseppe,,Rabat (Victoria),36.04511,14.23651,Private room,8000,1,1,0,2019-05-13,5,68
19353526,King Size Bedroom next to the Citadella,4405769,Sebastian,,Rabat (Victoria),36.04602,14.23739,Private room,16,1,136,0,2019-11-30,3,0
19358524,Tranquil Haven in the Heart of Gozo,4405769,Sebastian,,Rabat (Victoria),36.04602,14.23739,Private room,16,1,174,0,2019-12-01,3,0
35242887,Superior Gozo Apartment Flat 1,162228587,Robert,,Rabat (Victoria),36.03912,14.24252,Entire home/apt,83,1,3,2,2020-08-03,34,0
47051997,Central cosy Apartment,380319023,Dalia,,Rabat (Victoria),36.04159,14.24435,Entire home/apt,500,1,0,0,,1,90
35295454,Superior Gozo Apartment Flat 2,162228587,Robert,,Rabat (Victoria),36.03912,14.24252,Entire home/apt,225,1,0,0,,34,0
38486199,"Qute ,central ,fresh air & all what need near you",293083323,Maria,,Qormi,35.8771,14.47038,Entire home/apt,40,3,1,0,2019-10-26,2,179
41039910,Room 3 Twin bus stop Valletta Airport WiFi in Qorm,309973694,Bernardette,,Qormi,35.87767,14.47619,Private room,18,1,0,0,,3,180
32119929,Ta Girardu - Victoria Holiday Home,240978597,Gozo Village,,Rabat (Victoria),36.04632,14.24594,Entire home/apt,158,2,5,2,2020-09-21,22,363
12421067,Gorgeous Spacious Penthouse,67181402,Clive,,Qormi,35.87882,14.46947,Entire home/apt,46,2,176,7,2020-08-28,3,0
44919035,Lidda Butts Inn Bed 2,177768707,Joseph,,Rabat (Victoria),36.03954,14.24014,Shared room,10,1,7,7,2021-01-30,28,364
42007417,Lidda Butts Inn,177768707,Joseph,,Rabat (Victoria),36.03624,14.23946,Shared room,10,1,14,14,2020-10-31,28,179
38032029,Provicario : Chambre Deluxe hyper centre,275799744,Patrice,,Rabat (Victoria),36.04502,14.23842,Private room,100,2,0,0,,6,328
42042518,Lidda Butts Inn,177768707,Joseph,,Rabat (Victoria),36.03656,14.23949,Private room,20,1,3,3,2021-01-10,28,159
47506350,Serenity 2,97414120,William,,Qormi,35.87932,14.47407,Entire home/apt,25,1,0,0,,3,260
36830154,Santa Marija House  (3 )-Superior Suite with AC,276796567,Charlie,,Rabat (Victoria),36.04397,14.23975,Private room,70,1,2,2,2020-07-23,3,351
36906412,"Provicario : Chambre Duplex, hyper centre",275799744,Patrice,,Rabat (Victoria),36.04377,14.23919,Private room,110,2,1,1,2020-02-25,6,229
30918492,Couple king bedroom Wifi bus Valletta airport sea!,121482496,Ruben,,Qormi,35.879,14.47629,Private room,15,2,17,2,2020-03-02,3,179
38095125,Modern penthouse located in a quite area.,288137723,Nikita,,Qormi,35.87738,14.46486,Private room,20,30,0,0,,1,57
7250270,Private rooms upstairs floor apart,37964570,Verginia,,Qormi,35.87873,14.47315,Entire home/apt,20,10,16,0,2017-05-29,2,0
44055136,Disney Fantasy Room,305209494,Therese,,Qormi,35.88098,14.46795,Private room,20,1,1,1,2020-08-25,11,1
43855187,Private room with balcony closed to airport,305209494,Therese,,Qormi,35.88039,14.46943,Private room,18,1,1,1,2020-09-08,11,1
33445607,Highly Furnished Room - Ideal for Dog Lovers,37395915,Jonathan,,Qormi,35.87884,14.47821,Private room,20,1,64,20,2020-09-28,2,241
15565795,Twin room close to Valletta - Ideal for Dog Lovers,37395915,Jonathan,,Qormi,35.87981,14.47864,Private room,20,1,167,16,2020-09-28,2,1
33800703,One double bedroom in central area,255191480,Lyna,,Qormi,35.87948,14.48072,Private room,10,1,29,4,2021-01-09,1,40
40792779,Chambre tout confort lits jumeaux,168878367,Agnes,,Rabat (Victoria),36.04572,14.23761,Private room,55,2,0,0,,4,236
